match_id,local_formacion,local_ids,visitante_formacion,visitante_ids
1325357545,4-2-3-1,231672|3147543|24627841|20389194|470274|45781470|311528|234409|62679869|44779567|54210625,4-2-3-1,26164425|143605|397341|472689|142800|45775996|471240|146503|239239|3314983|187719
1325358396,3-5-2,26160883|3181514|43687504|451437|7723163|5307680|367073|28604219|3091515|7790783|3021480,3-4-2-1,3567431|66454353|20438943|418271|29334515|46384576|6238421|54536489|29660540|418915|327306
1325359247,4-2-3-1,261296|20774467|10943485|91441|6701135|22364342|965510|2993466|25192951|3104395|177254,4-2-3-1,31320450|72884371|9000698|4071361|184660|58818445|235858|50158577|3322872|42658|6238904
1325354141,4-2-3-1,19047581|26125141|53425106|3235127|3038063|49081487|185304|3098599|181279|65656920|24609970,4-2-3-1,45234|33207048|59189550|46844|16392208|176610|1081430|39921|32719218|26066698|461258
1325360949,3-4-2-1,470113|58555049|57115387|58396625|22343734|25550371|176449|2211650|3018260|7832482|26073782,3-4-2-1,44772322|61559792|42574511|3186183|3101014|3111962|76567729|2543793|2963198|3280046|13216644
1325356694,4-2-3-1,472206|348719|2843575|472850|234570|144249|65263114|3089261|23844093|20883625|55333278,4-2-3-1,3146255|3078313|2833271|3029208|57664880|966476|454657|3081050|11390421|48858341|51785482
1325360098,4-2-3-1,43365343|45803366|6236328|26273583|3085397|52825059|75560835|54752551|235697|3023412|3324643,5-4-1,256305|3018421|68663434|3074127|445963|3231907|2994593|2845024|3166380|48287757|3113411
1325355843,4-2-3-1,20778492|3567914|10304637|62391035|219275|42797174|62608385|26083281|3054324|44817724|63189756,4-2-3-1,3134019|25285526|3578218|3116148|6238260|1631889|473011|26049954|5977601|235214|157612
1325361800,4-2-3-1,42798140|46683|24608843|6230049|7650713|5014660|139097|13133407|54190339|42931931|3040317,4-2-3-1,32132212|26084086|3087973|143283|3034360|31411737|306698|65405438|3070585|3089905|45572492
1325354992,4-2-3-1,45395|17182879|180313|71044785|55065696|4036907|42429772|28670551|2561342|31693809|31581270,3-4-2-1,3155593|24625587|3380349|3557288|29259328|51451246|47166|300258|3086524|24630256|236663
1325349886,3-5-2,26160883|43687504|451437|3181514|7723163|5307680|367073|28604219|3091515|7790783|3021480,4-2-3-1,43365343|45803366|6236328|26273583|1178352|52825059|26071367|3023412|54752551|3085397|3324643
1325351588,4-2-3-1,26164425|61574926|397341|472689|142800|45775996|471240|146503|239239|3314983|187719,4-2-3-1,261296|20774467|10943485|91441|6701135|22364342|965510|3104395|25192951|101745|177254
1325348184,3-4-2-1,44772322|3186183|42574511|26148808|3101014|3111962|2543793|6111875|2963198|3280046|1384432,4-2-3-1,20778492|3567914|3053197|62391035|219275|42797174|3054324|26083281|66030279|44817724|63189756
1325352439,4-2-3-1,31320450|3578379|9000698|4071361|184660|58818445|235858|50158577|3322872|42658|6238904,4-2-3-1,3134019|25285526|3578218|3116148|3213553|50432599|473011|26049954|5977601|235214|157612
1325353290,4-2-3-1,42798140|46683|24608843|6230049|52822483|5014660|139097|13133407|54190339|42931931|3040317,4-2-3-1,472206|348719|2843575|472850|234570|144249|65263114|53780111|23844093|20883625|55333278
1325347333,3-4-2-1,3155593|55004516|24625587|3557288|26067181|45422279|3146899|300258|3086524|24630256|1663123,5-4-1,256305|3018421|57707545|3074127|445963|3231907|36509319|2845024|3166380|48287757|3113411
1325349035,3-4-2-1,3567431|73079020|3541832|20438943|29334515|46384576|6238421|54536489|29660540|418915|327306,4-2-3-1,6001590|3078313|20540373|3029208|2833271|966476|454657|3081050|11390421|48858341|51785482
1325345631,4-2-3-1,32132212|22349530|7537369|143283|3034360|368361|306698|58695280|3070585|3089905|45572492,3-4-2-1,470113|58555049|57115387|446285|22343734|25550371|176449|2211650|3018260|7832482|26073782
1325346482,4-2-3-1,19047581|26125141|53425106|3235127|3038063|185304|49081487|3098599|127666|65656920|24609970,4-3-3,45395|17182879|71044785|180313|7224385|4036907|42429772|44646420|28670551|31581270|31693809
1325350737,4-2-3-1,45234|257754|46844|59189550|16392208|87416|176610|26066698|32719218|54539065|461258,4-2-3-1,231672|3147543|24627841|20389194|470274|45781470|311528|234409|62679869|44779567|54210625
1325337121,4-2-3-1,3134019|25285526|3578218|3116148|3213553|50432599|473011|26049954|5977601|235214|157612,3-4-2-1,3155593|3380349|59044489|3557288|55004516|45422279|3146899|300258|3086524|24630256|1663123
1325339674,4-2-3-1,472206|348719|2843575|472850|32659648|144249|65263114|53780111|23844093|20883625|55333278,4-2-3-1,26164425|143605|397341|472689|142800|45775996|471240|146503|239239|3314983|187719
1325341376,5-4-1,256305|3018421|57707545|3074127|445963|3231907|36509319|28954877|2845024|48287757|3113411,4-2-3-1,32132212|22349530|3087973|143283|3107132|368361|306698|58695280|3070585|3089905|45572492
1325338823,4-2-3-1,20778492|3567914|3053197|62391035|219275|42797174|3054324|26083281|66030279|44817724|63189756,3-4-2-1,26160883|43687504|451437|3181514|7723163|5307680|367073|3091515|7790783|28604219|3021480
1325343078,4-2-3-1,261296|49446957|20774467|91441|57978508|10943485|22364342|2993466|25192951|3104395|177254,3-4-2-1,44772322|3186183|26148808|42574511|3101014|3111962|2543793|6111875|2963198|3280046|1384432
1325344780,3-4-2-1,470113|58555049|453691|58396625|22343734|25550371|176449|446285|7832482|3018260|26073782,4-2-3-1,42798140|32850433|24608843|6230049|7650713|5014660|139097|43552264|10943646|42931931|13133407
1325337972,4-2-3-1,45395|17182879|3138849|180313|55065696|4036907|44646420|28670551|2561342|45852471|31581270,5-4-1,31320450|3578379|4071361|9000698|184660|42658|3322872|235858|58818445|50158577|6238904
1325340525,4-2-3-1,231672|3147543|24627841|439523|470274|234409|45781470|62195420|62679869|44779567|54210625,3-4-2-1,3073322|20438943|3541832|66454353|29334515|6238421|46384576|54536489|418915|29660540|236502
1325343929,4-2-3-1,43365343|45803366|6236328|26273583|1178352|52825059|26071367|3023412|235697|24702384|3324643,4-2-3-1,19047581|26125141|53425106|3235127|3038063|49081487|185304|3098599|127666|65656920|24609970
1325342227,4-2-3-1,6001590|3078313|20540373|3029208|2833271|966476|454657|5349218|11390421|48858341|51785482,4-2-3-1,45234|33207048|46844|59189550|16392208|176610|1081430|54539065|32719218|39921|461258
