match_id,arbitro,clima_status,clima_temp
1325357545,"Bankes, Peter",clear day,20.27
1325358396,"Herczeg, Adam",clear day,17.31
1325359247,"Jones, Robert",partly cloudy day,16.92
1325354141,"Oliver, Michael",cloudy,20.27
1325360949,"Gillett, Jarred",cloudy,18.79
1325356694,"Attwell, Stuart",wind,17.9
1325360098,"Harrington, Tony",wind,17.77
1325355843,"England, Darren",wind,19.52
1325361800,"Barrott, Samuel",cloudy,20.56
1325354992,"Madley, Andrew",cloudy,16.96
1325349886,"Salisbury, Michael",clear night,20.69
1325351588,,,
1325348184,"Harrington, Tony",cloudy,21.52
1325352439,"Brooks, John",cloudy,17.77
1325353290,"England, Darren",cloudy,23.11
1325347333,"Hallam, Farai",partly cloudy day,23.02
1325349035,"Kavanagh, Christopher",partly cloudy day,23.0
1325345631,"Madley, Andrew",cloudy,20.95
1325346482,"Gillett, Jarred",wind,21.56
1325350737,"Bramall, Thomas",cloudy,21.01
1325337121,"Kavanagh, Christopher",partly cloudy day,26.19
1325339674,"Brooks, John",partly cloudy day,21.5
1325341376,"Oliver, Michael",cloudy,19.34
1325338823,"Attwell, Stuart",partly cloudy day,19.88
1325343078,"Tierney, Paul",partly cloudy day,18.43
1325344780,"Pawson, Craig",cloudy,18.91
1325337972,"Bramall, Thomas",partly cloudy day,21.78
1325340525,"Barrott, Samuel",partly cloudy day,21.92
1325343929,"Jones, Robert",partly cloudy day,17.4
1325342227,"England, Darren",clear night,17.81
1325328611,"Gillett, Jarred",cloudy,16.08
1325334568,"Pawson, Craig",rain,19.22
1325335419,"Salisbury, Michael",cloudy,20.16
1325332866,"Harrington, Tony",cloudy,20.98
1325330313,"Oliver, Michael",cloudy,21.5
1325336270,"Bankes, Peter",rain,19.98
1325329462,"Kavanagh, Christopher",rain,20.49
1325331164,"Smith, Josh",rain,18.95
1325333717,"Barrott, Samuel",rain,17.93
1325332015,"Madley, Andrew",cloudy,19.55
1325327760,"Brooks, John",clear day,18.46
1325326909,"Attwell, Stuart",cloudy,18.84
1325325207,"Bankes, Peter",partly cloudy day,21.22
1325326058,"Gillett, Jarred",clear day,19.9
1325324356,"Oliver, Michael",partly cloudy day,21.94
1325322654,"Hallam, Farai",cloudy,19.44
1325321803,"Tierney, Paul",clear day,17.3
1325323505,"Jones, Robert",cloudy,19.57
1325320952,"England, Darren",cloudy,16.8
1325320101,"Bramall, Thomas",clear day,17.94
1336412886,"Busquets Ferrer, Mateo",clear day,27.16
1336407780,"Soto Grado, Cesar",clear day,25.1
1336406078,"Ortiz Arias, Miguel Angel",clear day,29.62
1336409482,"Alberola Rojas, Javier",clear day,26.13
1336411184,"Martinez Munuera, Juan",clear night,29.56
1336406929,"De Burgos Bengoechea, Ricardo",clear day,27.24
1336405227,"Garcia Verdura, Victor",clear day,24.87
1336410333,"Orellana Cid, Manuel Jesus",clear day,23.86
1336408631,"Gonzalez Esteban, Jon Ander",clear night,21.93
1336402674,"Ortiz Arias, Miguel Angel",clear night,22.8
1336399270,"Sanchez Martinez, Jose Maria",clear day,29.13
1336398419,,,
1336397568,"Hernandez Maeso, Francisco Jose",wind,25.3
1336400121,"Hernandez, Alejandro",partly cloudy day,19.74
1336400972,"Gil Manzano, Jesus",clear night,24.33
1336396717,"Sesma Espinosa, Miguel",partly cloudy day,19.95
1336403525,"Diaz de Mera Escuderos, Isidro",clear day,34.48
1336395866,"Hernandez Maeso, Francisco Jose",clear night,25.4
1336394164,"Martinez Munuera, Juan",clear night,21.08
1336389909,"De Burgos Bengoechea, Ricardo",clear day,32.05
1336390760,"Gonzalez Esteban, Jon Ander",clear day,28.64
1336389058,"Muniz Munoz, Carlos",clear day,31.44
1336393313,"Garcia Verdura, Victor",clear night,27.93
1336388207,"Orellana Cid, Manuel Jesus",clear day,24.05
